Name,URL,VERSION,TIMESTAMP
BigWigs Bossmods,https://www.curseforge.com/wow/addons/big-wigs/download,https://www.curseforge.com/wow/addons/big-wigs/download/2806624/file,Sat Oct 26 09:50:41 2019
LittleWigs,https://www.curseforge.com/wow/addons/little-wigs/download,https://www.curseforge.com/wow/addons/little-wigs/download/2778987/file,Sat Oct 26 09:50:46 2019
BigWigs_Voice,https://www.curseforge.com/wow/addons/bigwigs_voice/download/,https://www.curseforge.com/wow/addons/bigwigs_voice/download/2737833/file,Sat Oct 26 09:51:11 2019
Bigwigs Voice - Chinese voicepack (VV),https://www.curseforge.com/wow/addons/bigwigs-voice-chinese-voicepack-vv/download/,https://www.curseforge.com/wow/addons/bigwigs-voice-chinese-voicepack-vv/download/2738905/file,Sat Oct 26 09:51:27 2019
Details! Damage Meter,https://www.curseforge.com/wow/addons/details/download/,https://www.curseforge.com/wow/addons/details/download/2813418/file,Sat Oct 26 09:51:36 2019
Quartz,https://www.curseforge.com/wow/addons/quartz/download/,https://www.curseforge.com/wow/addons/quartz/download/2794708/file,Sat Oct 26 09:51:39 2019
Bagnon,https://www.curseforge.com/wow/addons/bagnon/download/,https://www.curseforge.com/wow/addons/bagnon/download/2802448/file,Sat Oct 26 09:51:42 2019
Immersion,https://www.curseforge.com/wow/addons/immersion/download/,https://www.curseforge.com/wow/addons/immersion/download/2797350/file,Sat Oct 26 09:51:47 2019
Mapster,https://www.curseforge.com/wow/addons/mapster/download,https://www.curseforge.com/wow/addons/mapster/download/2794710/file,Sat Oct 26 09:51:51 2019
OmniCC,https://www.curseforge.com/wow/addons/omni-cc/download/,https://www.curseforge.com/wow/addons/omni-cc/download/2793924/file,Sat Oct 26 09:51:55 2019
Postal,https://www.curseforge.com/wow/addons/postal/download,https://www.curseforge.com/wow/addons/postal/download/2587313/file,Sat Oct 26 09:51:57 2019
KuiNameplates,https://www.curseforge.com/wow/addons/kuinameplates/download/,https://www.curseforge.com/wow/addons/kuinameplates/download/2796739/file,Sat Oct 26 09:52:01 2019
Garrison Mission Manager,https://www.curseforge.com/wow/addons/garrison-mission-manager/download,https://www.curseforge.com/wow/addons/garrison-mission-manager/download/2669426/file,Sat Oct 26 09:52:04 2019
World Quests List,https://www.curseforge.com/wow/addons/world-quests-list/download,https://www.curseforge.com/wow/addons/world-quests-list/download/2796458/file,Sat Oct 26 09:52:10 2019
Scrap (Junk Seller),https://www.curseforge.com/wow/addons/scrap/download/,https://www.curseforge.com/wow/addons/scrap/download/2777904/file,Sat Oct 26 09:52:13 2019
TinyInspect,https://www.curseforge.com/wow/addons/itemlevel-anywhere/download/,https://www.curseforge.com/wow/addons/itemlevel-anywhere/download/2775759/file,Sat Oct 26 09:52:16 2019
BonusRollPreview,https://www.curseforge.com/wow/addons/bonusrollpreview/download/,https://www.curseforge.com/wow/addons/bonusrollpreview/download/2670624/file,Sat Oct 26 09:52:18 2019
KeystoneHelper,https://www.curseforge.com/wow/addons/keystonehelper/download/,https://www.curseforge.com/wow/addons/keystonehelper/download/2587171/file,Sat Oct 26 09:52:21 2019
Angry Keystones,https://www.curseforge.com/wow/addons/angry-keystones/download,https://www.curseforge.com/wow/addons/angry-keystones/download/2804733/file,Sat Oct 26 09:52:25 2019
Can I Mog It?,https://www.curseforge.com/wow/addons/can-i-mog-it/download/,https://www.curseforge.com/wow/addons/can-i-mog-it/download/2815360/file,Sat Oct 26 09:52:28 2019
alaChat,https://www.curseforge.com/wow/addons/alachat/download/,https://www.curseforge.com/wow/addons/alachat/download/2763794/file,Sat Oct 26 09:52:32 2019
EnhancedChatFilterMODFix,https://www.curseforge.com/wow/addons/ecfmodfix/download/,https://www.curseforge.com/wow/addons/ecfmodfix/download/2795309/file,Sat Oct 26 09:52:42 2019
AzeriteTooltip,https://www.curseforge.com/wow/addons/azeritetooltip/download/,https://www.curseforge.com/wow/addons/azeritetooltip/download/2803263/file,Sat Oct 26 09:52:46 2019
WeakAuras 2,https://www.curseforge.com/wow/addons/weakauras-2/download,https://www.curseforge.com/wow/addons/weakauras-2/download/2810468/file,Sat Oct 26 09:53:09 2019
